AAAA;NOM_USUEL;TMM;TXAB;TXMIN;NBJTX25;RR;RRAB;TMM_ma5;ville
1981;BORDEAUX-MERIGNAC;12.8;36.1;2.7;60.0;989.9;52.3;;bordeaux
1982;BORDEAUX-MERIGNAC;13.3;38.2;2.0;69.0;1165.6;60.0;;bordeaux
1983;BORDEAUX-MERIGNAC;12.9;36.2;0.1;81.0;866.5999999999999;39.3;;bordeaux
1984;BORDEAUX-MERIGNAC;12.3;35.0;1.8;63.0;1193.5;48.7;;bordeaux
1985;BORDEAUX-MERIGNAC;11.8;35.4;-7.1;73.0;825.3;42.6;12.6;bordeaux
1986;BORDEAUX-MERIGNAC;12.2;34.7;-1.2;73.0;954.4;44.4;12.5;bordeaux
1987;BORDEAUX-MERIGNAC;12.5;37.0;-6.5;61.0;788.3;35.0;12.3;bordeaux
1988;BORDEAUX-MERIGNAC;13.2;34.8;0.1;59.0;943.1;38.8;12.4;bordeaux
1989;BORDEAUX-MERIGNAC;14.1;38.2;0.1;104.0;667.9;36.8;12.8;bordeaux
1990;BORDEAUX-MERIGNAC;14.2;38.8;0.6;97.0;906.0;81.7;13.2;bordeaux
1991;BORDEAUX-MERIGNAC;12.9;36.2;-2.1;85.0;978.1;62.0;13.4;bordeaux
1992;BORDEAUX-MERIGNAC;13.0;34.9;-0.6;65.0;1230.6;87.6;13.5;bordeaux
1993;BORDEAUX-MERIGNAC;12.9;34.6;0.0;64.0;1089.1;52.4;13.4;bordeaux
1994;BORDEAUX-MERIGNAC;14.2;35.3;2.3;73.0;1156.0;56.8;13.4;bordeaux
1995;BORDEAUX-MERIGNAC;13.6;36.8;0.8;89.0;1048.0;59.6;13.3;bordeaux
1996;BORDEAUX-MERIGNAC;12.4;36.0;-0.2;65.0;1106.0;59.0;13.2;bordeaux
1997;BORDEAUX-MERIGNAC;14.6;35.2;-2.7;92.0;1106.3;41.2;13.5;bordeaux
1998;BORDEAUX-MERIGNAC;12.4;38.8;3.6;77.0;1011.4;42.0;13.4;bordeaux
1999;BORDEAUX-MERIGNAC;9.5;35.6;2.3;88.0;1099.8;79.0;12.5;bordeaux
2000;BORDEAUX-MERIGNAC;11.3;35.5;-0.6;79.0;1208.6;52.4;12.0;bordeaux
2001;BORDEAUX-MERIGNAC;11.9;36.4;-1.7;68.0;808.0;25.2;11.9;bordeaux
2002;BORDEAUX-MERIGNAC;14.8;35.8;4.0;64.0;722.4;36.8;12.0;bordeaux
2003;BORDEAUX-MERIGNAC;14.4;40.7;-0.4;102.0;735.4;51.0;12.4;bordeaux
2004;BORDEAUX-MERIGNAC;8.7;35.1;3.5;81.0;693.4;24.8;12.2;bordeaux
2005;BORDEAUX-MERIGNAC;13.6;36.8;-1.1;97.0;595.8000000000001;23.4;12.7;bordeaux
2006;BORDEAUX-MERIGNAC;14.1;37.7;-2.6;90.0;821.3000000000001;33.6;13.1;bordeaux
2007;BORDEAUX-MERIGNAC;13.5;36.4;-0.7;66.0;881.0;48.4;12.9;bordeaux
2008;BORDEAUX-MERIGNAC;13.2;34.4;0.5;62.0;1012.3;36.8;12.6;bordeaux
2009;BORDEAUX-MERIGNAC;13.8;36.2;-0.9;94.0;910.8;37.2;13.6;bordeaux
2010;BORDEAUX-MERIGNAC;12.8;36.7;-1.8;83.0;812.0;39.5;13.5;bordeaux
2011;BORDEAUX-MERIGNAC;14.6;39.2;-0.6;95.0;587.6;36.2;13.6;bordeaux
2012;BORDEAUX-MERIGNAC;13.5;39.1;-3.2;81.0;846.7;34.4;13.6;bordeaux
2013;BORDEAUX-MERIGNAC;13.2;35.8;2.4;77.0;1050.4;48.7;13.6;bordeaux
2014;BORDEAUX-MERIGNAC;14.5;35.3;4.1;83.0;1005.7;32.4;13.7;bordeaux
2015;BORDEAUX-MERIGNAC;14.1;38.3;1.5;81.0;593.9;29.9;14.0;bordeaux
2016;BORDEAUX-MERIGNAC;14.0;38.5;4.4;84.0;922.1999999999999;41.2;13.9;bordeaux
2017;BORDEAUX-MERIGNAC;13.9;37.1;0.5;85.0;761.3;51.4;13.9;bordeaux
2018;BORDEAUX-MERIGNAC;14.5;37.3;1.7;115.0;796.9;34.5;14.2;bordeaux
2019;BORDEAUX-MERIGNAC;14.5;41.2;4.1;90.0;997.2;44.0;14.2;bordeaux
2020;BORDEAUX-MERIGNAC;14.9;39.6;4.5;96.0;1158.6;71.0;14.4;bordeaux
2021;BORDEAUX-MERIGNAC;13.8;34.0;3.3;77.0;906.6;44.0;14.3;bordeaux
2022;BORDEAUX-MERIGNAC;15.5;40.5;1.8;126.0;639.0;27.0;14.6;bordeaux
2023;BORDEAUX-MERIGNAC;15.1;39.4;1.8;119.0;1186.4;35.3;14.8;bordeaux
2024;BORDEAUX-MERIGNAC;14.4;38.8;0.7;76.0;1016.8;58.6;14.7;bordeaux
2025;BORDEAUX-MERIGNAC;14.9;41.6;0.7;95.0;840.6;52.4;14.7;bordeaux
1888;LYON-BRON;;;;0.0;885.0;43.0;;lyon
1889;LYON-BRON;;;;0.0;858.8;35.0;;lyon
1890;LYON-BRON;;;;0.0;813.1;51.3;;lyon
1891;LYON-BRON;;;;0.0;959.7;77.8;;lyon
1920;LYON-BRON;;30.4;-6.8;9.0;275.4;34.5;;lyon
1921;LYON-BRON;;38.6;-1.2;97.0;426.3;52.0;;lyon
1922;LYON-BRON;;34.3;-2.2;56.0;974.9;35.0;;lyon
1923;LYON-BRON;;37.5;-0.3;71.0;925.0999999999999;66.6;;lyon
1924;LYON-BRON;;36.3;-1.6;57.0;819.2;47.4;;lyon
1925;LYON-BRON;;34.8;-4.3;57.0;692.6;61.0;;lyon
1926;LYON-BRON;;33.9;-4.4;66.0;817.3;43.7;;lyon
1927;LYON-BRON;;32.8;-5.1;63.0;948.8;73.9;;lyon
1928;LYON-BRON;;37.3;-0.9;71.0;821.8;39.6;;lyon
1929;LYON-BRON;;36.4;-13.4;76.0;775.6;43.8;;lyon
1930;LYON-BRON;;32.8;-2.0;46.0;1081.1;61.2;;lyon
1931;LYON-BRON;;35.5;-5.9;54.0;919.9;44.9;;lyon
1932;LYON-BRON;;34.9;-6.5;53.0;799.6999999999999;34.7;;lyon
1933;LYON-BRON;;34.8;-8.2;67.0;815.6;54.4;;lyon
1934;LYON-BRON;;35.3;-3.1;79.0;684.1;40.0;;lyon
1935;LYON-BRON;;35.9;-2.1;73.0;1135.4;97.0;;lyon
1936;LYON-BRON;;32.1;-0.8;54.0;838.6;53.5;;lyon
1937;LYON-BRON;;35.6;-3.0;72.0;898.1;39.6;;lyon
1938;LYON-BRON;;34.4;-8.2;42.0;775.4;43.3;;lyon
1939;LYON-BRON;;31.6;-10.4;43.0;854.5;45.4;;lyon
1940;LYON-BRON;;31.0;-10.2;51.0;914.0;76.7;;lyon
1941;LYON-BRON;;34.0;-9.0;51.0;846.2;55.5;;lyon
1942;LYON-BRON;;34.5;-8.9;88.0;691.9;63.0;;lyon
1943;LYON-BRON;;37.8;1.0;79.0;657.3;48.2;;lyon
1944;LYON-BRON;;37.0;-3.4;72.0;779.4;39.5;;lyon
1945;LYON-BRON;;38.0;-8.2;106.0;615.1;63.9;;lyon
1946;LYON-BRON;;38.2;-4.8;59.0;781.3;49.4;;lyon
1947;LYON-BRON;;39.7;-4.8;103.0;752.5;43.8;;lyon
1948;LYON-BRON;;33.5;-3.1;59.0;942.9;55.9;;lyon
1949;LYON-BRON;12.2;37.7;0.2;104.0;581.5;21.5;;lyon
1950;LYON-BRON;11.9;37.6;-2.7;87.0;824.9;80.6;;lyon
1951;LYON-BRON;11.4;32.7;-0.2;55.0;961.3;43.7;;lyon
1952;LYON-BRON;11.6;39.5;-4.4;79.0;716.3;33.1;;lyon
1953;LYON-BRON;11.4;33.2;-4.2;73.0;615.7;51.7;11.7;lyon
1954;LYON-BRON;11.0;34.2;-8.0;54.0;853.9;80.9;11.5;lyon
1955;LYON-BRON;11.4;33.1;-0.8;68.0;812.6;71.2;11.4;lyon
1956;LYON-BRON;9.8;32.2;-12.7;42.0;915.3000000000001;61.4;11.0;lyon
1957;LYON-BRON;11.2;35.5;-3.0;50.0;646.5;53.4;11.0;lyon
1958;LYON-BRON;11.5;35.8;-1.8;63.0;973.9;89.2;11.0;lyon
1959;LYON-BRON;12.2;33.8;-0.2;70.0;672.6;43.2;11.2;lyon
1960;LYON-BRON;11.4;32.6;-7.0;46.0;1231.2;62.9;11.2;lyon
1961;LYON-BRON;12.3;34.1;-3.4;60.0;730.4;43.9;11.7;lyon
1962;LYON-BRON;2.7;34.9;-8.7;60.0;659.3;69.7;10.0;lyon
1963;LYON-BRON;-2.2;32.0;-8.1;32.0;919.2;70.5;7.3;lyon
1964;LYON-BRON;2.5;37.6;-3.8;72.0;691.7;28.7;5.3;lyon
1965;LYON-BRON;6.5;33.9;-0.6;45.0;1021.7;51.4;4.4;lyon
1966;LYON-BRON;5.8;35.6;-9.2;51.0;744.8;45.4;3.1;lyon
1967;LYON-BRON;1.6;35.0;-7.3;59.0;778.9;44.7;2.8;lyon
1968;LYON-BRON;15.4;34.8;-3.1;33.0;949.2;63.9;6.4;lyon
1969;LYON-BRON;2.6;33.0;-3.5;49.0;732.9;29.2;6.4;lyon
1970;LYON-BRON;5.3;35.0;-4.2;58.0;972.9;69.8;6.1;lyon
1971;LYON-BRON;3.2;34.2;-10.7;66.0;697.5;37.7;5.6;lyon
1972;LYON-BRON;2.9;33.3;-2.8;41.0;818.1;45.1;5.9;lyon
1973;LYON-BRON;4.8;33.2;-4.3;73.0;679.3;46.2;3.8;lyon
1974;LYON-BRON;;37.1;1.0;62.0;799.4;44.3;;lyon
1975;LYON-BRON;;35.6;-2.9;61.0;941.5;42.1;;lyon
1976;LYON-BRON;2.9;35.8;-1.7;85.0;753.6;45.2;;lyon
